Nombre de la Rutina,Ejercicio 1,Ejercicio 2,Ejercicio 3,Template,Ejercicio 4,Ejercico 5
Semilla: Tren Superior A,Flexiones en Pared,Flexiones Inclinadas (manos en silla),Plancha en Rodillas,"Flexiones en Pared , Flexiones Inclinadas (manos en silla) , Plancha en Rodillas , Remo con Liga (agarre neutro) , Escápula Push-ups",Remo con Liga (agarre neutro),Escápula Push-ups
Semilla: Tren Superior B,Flexiones en Rodillas,Remo con Liga (agarre supino),Press de Hombro con Liga,"Flexiones en Rodillas , Remo con Liga (agarre supino) , Press de Hombro con Liga , Plancha Inclinada (manos en paralelas) , Fondos Asistidos (pies en suelo)",Plancha Inclinada (manos en paralelas),Fondos Asistidos (pies en suelo)
Semilla: Tren Superior C,Flexiones Neutras (en paralelas),Escápula Push-ups,Remo con Liga (agarre prono),"Flexiones Neutras (en paralelas) , Escápula Push-ups , Remo con Liga (agarre prono) , L-Sit Asistido (rodillas flexionadas) , Fondos de Tríceps (en paralelas)",L-Sit Asistido (rodillas flexionadas),Fondos de Tríceps (en paralelas)
Semilla: Tren Inferior A,Sentadilla Normal,Puente de Glúteo,Zancada Reversa,"Sentadilla Normal , Puente de Glúteo , Zancada Reversa , Elevación de Talones (de pie) , Sentadilla Sumo",Elevación de Talones (de pie),Sentadilla Sumo
Semilla: Tren Inferior B,Sentadilla con Pausa,Zancada Caminando,Puente de Glúteo a Una Pierna,"Sentadilla con Pausa , Zancada Caminando , Puente de Glúteo a Una Pierna , Sentadilla Búlgara Asistida , Wall Sit (sentadilla en pared)",Sentadilla Búlgara Asistida,Wall Sit (sentadilla en pared)
Semilla: Tren Inferior C,Sentadilla Cosaca Asistida,Step-Up (en silla baja),Peso Muerto a Una Pierna (sin peso),"Sentadilla Cosaca Asistida , Step-Up (en silla baja) , Peso Muerto a Una Pierna (sin peso) , Zancada Lateral , Elevación de Talones a Una Pierna",Zancada Lateral,Elevación de Talones a Una Pierna
Semilla: Cuerpo Completo A,Flexiones en Pared,Sentadilla Normal,Plancha en Rodillas,"Flexiones en Pared , Sentadilla Normal , Plancha en Rodillas , Puente de Glúteo , Remo con Liga (agarre neutro)",Puente de Glúteo,Remo con Liga (agarre neutro)
Semilla: Cuerpo Completo B,Flexiones en Rodillas,Zancada Reversa,Escápula Push-ups,"Flexiones en Rodillas , Zancada Reversa , Escápula Push-ups , Sentadilla Sumo , Fondos Asistidos (pies en suelo)",Sentadilla Sumo,Fondos Asistidos (pies en suelo)
Semilla: Cuerpo Completo C,Flexiones Neutras (en paralelas),Sentadilla con Pausa,L-Sit Asistido (rodillas flexionadas),"Flexiones Neutras (en paralelas) , Sentadilla con Pausa , L-Sit Asistido (rodillas flexionadas) , Puente de Glúteo a Una Pierna , Remo con Liga (agarre supino)",Puente de Glúteo a Una Pierna,Remo con Liga (agarre supino)
Pino: Tren Superior A,Flexiones Escapulares,Remo Sentado con Liga,Plancha Inclinada,"Flexiones Escapulares , Remo Sentado con Liga , Plancha Inclinada , Pike Push-ups (en paralelas) , Fondos en Paralelas",Pike Push-ups (en paralelas),Fondos en Paralelas
Pino: Tren Superior B,Flexiones Diamante,Remo con Liga (agarre amplio),Press de Hombro con Liga (de pie),"Flexiones Diamante , Remo con Liga (agarre amplio) , Press de Hombro con Liga (de pie) , L-Sit (piernas extendidas) , Flexiones en Paralelas (rango completo)",L-Sit (piernas extendidas),Flexiones en Paralelas (rango completo)
Pino: Tren Superior C,Flexiones Archer Asistidas,Dominadas Australianas (en barra baja),Fondos Profundos en Paralelas,"Flexiones Archer Asistidas , Dominadas Australianas (en barra baja) , Fondos Profundos en Paralelas , Pike Push-ups Elevados , Remo con Liga (agarre cerrado)",Pike Push-ups Elevados,Remo con Liga (agarre cerrado)
Pino: Tren Inferior A,Sentadilla Búlgara,Peso Muerto Rumano a Una Pierna,Sentadilla con Salto,"Sentadilla Búlgara , Peso Muerto Rumano a Una Pierna , Sentadilla con Salto , Puente de Glúteo Elevado (pies en silla) , Elevación de Talones con Pausa",Puente de Glúteo Elevado (pies en silla),Elevación de Talones con Pausa
Pino: Tren Inferior B,Sentadilla Cosaca,Zancada con Salto Alternada,Hip Thrust a Una Pierna (en silla),"Sentadilla Cosaca , Zancada con Salto Alternada , Hip Thrust a Una Pierna (en silla) , Step-Up Alto (en silla) , Wall Sit con Una Pierna",Step-Up Alto (en silla),Wall Sit con Una Pierna
Pino: Tren Inferior C,Pistol Squat Asistida (con liga),Curl Nórdico Asistido (con liga),Sentadilla Sissy Asistida,"Pistol Squat Asistida (con liga) , Curl Nórdico Asistido (con liga) , Sentadilla Sissy Asistida , Zancada Búlgara con Pausa , Salto al Cajón (en silla firme)",Zancada Búlgara con Pausa,Salto al Cajón (en silla firme)
Pino: Cuerpo Completo A,Flexiones Escapulares,Sentadilla Búlgara,Fondos en Paralelas,"Flexiones Escapulares , Sentadilla Búlgara , Fondos en Paralelas , Peso Muerto Rumano a Una Pierna , Plancha Inclinada",Peso Muerto Rumano a Una Pierna,Plancha Inclinada
Pino: Cuerpo Completo B,Pike Push-ups (en paralelas),Sentadilla Cosaca,Remo Sentado con Liga,"Pike Push-ups (en paralelas) , Sentadilla Cosaca , Remo Sentado con Liga , Puente de Glúteo Elevado (pies en silla) , L-Sit (piernas extendidas)",Puente de Glúteo Elevado (pies en silla),L-Sit (piernas extendidas)
Pino: Cuerpo Completo C,Flexiones Diamante,Zancada con Salto Alternada,Dominadas Australianas (en barra baja),"Flexiones Diamante , Zancada con Salto Alternada , Dominadas Australianas (en barra baja) , Hip Thrust a Una Pierna (en silla) , Fondos Profundos en Paralelas",Hip Thrust a Una Pierna (en silla),Fondos Profundos en Paralelas
